department,total_receipts,total_disposal,total_pending,pending_gt_1yr,pending_6to12mo,pending_2to6mo,pending_lt_2mo,resolution_rate,pending_gt_1yr_pct
Administrative Reforms And Pg,1540,1497,43,0,0,1,42,97.21,0.0
Agriculture And Cooperation,21317,20557,760,7,21,141,591,96.43,0.92
Agriculture Research And Education,6535,6245,290,0,31,65,194,95.56,0.0
"Animal Husbandry, Dairying",4835,4702,133,12,16,28,77,97.25,9.02
Atomic Energy,5838,5279,559,346,73,59,81,90.42,61.9
Ayush,9221,9003,218,0,9,76,133,97.64,0.0
Bio Technology,959,906,53,19,11,10,13,94.47,35.85
Central Board Of Direct Taxes (Income Tax),140684,138030,2654,0,25,623,2006,98.11,0.0
Central Board Of Excise And Customs,64611,63682,929,1,4,66,858,98.56,0.11
Chemicals And Petrochemicals,2100,2083,17,0,1,1,15,99.19,0.0
Civil Aviation,22937,22419,518,6,38,175,299,97.74,1.16
Coal,18391,17597,794,139,133,171,351,95.68,17.51
Commerce,15401,15121,280,5,3,36,236,98.18,1.79
Consumer Affairs,31680,30930,750,1,0,9,740,97.63,0.13
Corporate Affairs,31700,30973,727,57,85,211,374,97.71,7.84
Culture,7814,7318,496,41,105,146,204,93.65,8.27
Defence,57343,54485,2858,113,453,947,1345,95.02,3.95
Defence Finance,28350,27040,1310,0,12,188,1110,95.38,0.0
Defence Production,9261,9179,82,0,0,1,81,99.11,0.0
Defence Research And Development,3102,3088,14,0,0,0,14,99.55,0.0
Development Of North Eastern Region,1055,1037,18,1,4,5,8,98.29,5.56
Drinking Water And Sanitation,9499,8958,541,36,195,93,217,94.3,6.65
Earth Sciences,1904,1884,20,0,0,5,15,98.95,0.0
Economic Affairs,16812,16653,159,6,4,46,103,99.05,3.77
Electronics & Information Technology,24094,23549,545,6,6,64,469,97.74,1.1
Empowerment Of Persons With Disabilities,9384,9284,100,0,0,1,99,98.93,0.0
"Environment, Forest And Climate Change",23927,23541,386,4,23,90,269,98.39,1.04
Ex Servicemen Welfare,24320,24033,287,0,0,3,284,98.82,0.0
Expenditure,12958,12910,48,0,0,1,47,99.63,0.0
External Affairs,45391,44849,542,0,0,5,537,98.81,0.0
Fertilizers,1883,1848,35,0,0,12,23,98.14,0.0
Financial Services (Banking Division),391784,383904,7880,79,103,749,6949,97.99,1.0
Financial Services (Insurance Division),43724,42733,991,10,1,58,922,97.73,1.01
Financial Services (Pension Reforms),2302,2257,45,0,0,3,42,98.05,0.0
Fisheries,77,71,6,0,0,0,6,92.21,0.0
Food And Public Distribution,14439,14269,170,0,0,4,166,98.82,0.0
Food Processing Industries,1928,1918,10,0,0,2,8,99.48,0.0
Health & Family Welfare,82641,81522,1119,13,9,130,967,98.65,1.16
Health Research,3486,3300,186,46,37,47,56,94.66,24.73
Heavy Industry,5917,5864,53,0,0,0,53,99.1,0.0
Higher Education,89600,87581,2019,15,13,357,1634,97.75,0.74
Home Affairs,108289,100058,8231,1077,955,2448,3751,92.4,13.08
Housing And Urban Affairs,47198,46074,1124,19,14,258,833,97.62,1.69
Industrial Policy & Promotion,8058,8011,47,0,2,0,45,99.42,0.0
Information And Broadcasting,30458,29826,632,1,15,191,425,97.93,0.16
Investment & Public Asset Management,1698,1689,9,0,1,2,6,99.47,0.0
Justice,35265,35003,262,2,0,6,254,99.26,0.76
Labour And Employment,131406,130142,1264,17,7,28,1212,99.04,1.34
Land Resources,2793,2651,142,0,2,53,87,94.92,0.0
Legal Affairs,12075,9253,2822,1725,571,349,177,76.63,61.13
Legislative Department,2615,2184,431,61,131,119,120,83.52,14.15
Micro Small And Medium Enterprises,8736,8501,235,0,1,25,209,97.31,0.0
Mines,4352,4078,274,64,38,77,95,93.7,23.36
Minority Affairs,7280,6933,347,54,105,102,86,95.23,15.56
New And Renewable Energy,3817,3782,35,0,0,3,32,99.08,0.0
Niti Aayog,5640,5631,9,0,0,0,9,99.84,0.0
O/O The Comptroller & Auditor General Of India,12467,12255,212,1,2,77,132,98.3,0.47
Official Language,1347,1331,16,0,3,6,7,98.81,0.0
Panchayati Raj,5765,5695,70,0,0,5,65,98.79,0.0
Parliamentary Affairs,3082,3077,5,0,0,1,4,99.84,0.0
Personnel And Training,99373,98112,1261,176,140,279,666,98.73,13.96
Petroleum And Natural Gas,66127,65448,679,5,1,8,665,98.97,0.74
Pharmaceutical,6732,6671,61,1,8,6,46,99.09,1.64
Posts,152602,150622,1980,128,15,117,1720,98.7,6.46
Power,15571,15256,315,24,42,79,170,97.98,7.62
Public Enterprises,3861,3851,10,0,0,0,10,99.74,0.0
"Railways, ( Railway Board)",213382,208449,4933,376,335,1014,3208,97.69,7.62
Revenue,94756,91178,3578,244,689,1312,1333,96.22,6.82
Road Transport And Highways,42711,40516,2195,59,131,359,1646,94.86,2.69
Rural Development,16699,15396,1303,157,224,355,567,92.2,12.05
School Education And Literacy,63858,62222,1636,7,9,349,1271,97.44,0.43
Science And Technology,7808,7702,106,0,3,23,80,98.64,0.0
Scientific & Industrial Research,4434,4155,279,16,59,92,112,93.71,5.73
Shipping,6570,6211,359,12,61,101,185,94.54,3.34
Skill Development And Entrepreneurship,9492,9276,216,5,20,44,147,97.72,2.31
Social Justice And Empowerment,17040,16097,943,424,230,141,148,94.47,44.96
Space,2263,2007,256,12,17,29,198,88.69,4.69
Sports,6909,6657,252,5,7,100,140,96.35,1.98
Statistics And Programme Implementation,1870,1843,27,0,1,8,18,98.56,0.0
Steel,6053,6004,49,0,0,1,48,99.19,0.0
Telecommunications,261387,258562,2825,16,26,360,2423,98.92,0.57
Textiles,5606,5459,147,0,0,10,137,97.38,0.0
Tourism,4717,4693,24,0,0,1,23,99.49,0.0
Tribal Affairs,3778,3633,145,0,3,11,131,96.16,0.0
Unique Identification Authority Of India,39124,38583,541,0,0,18,523,98.62,0.0
"Water Resources, River Development & Ganga Rejuvenuation,",15421,14627,794,35,27,329,403,94.85,4.41
Women And Child Development,16426,16256,170,0,1,6,163,98.97,0.0
Youth Affairs,3727,3623,104,3,15,33,53,97.21,2.88
Nct Of Delhi,100682,86609,14073,2760,1775,3948,5590,86.02,19.61
Andaman & Nicobar,1884,1795,89,0,0,20,69,95.28,0.0
Andhra Pradesh,26978,568,26410,21706,2079,1656,969,2.11,82.19
Arunachal Pradesh,1498,1008,490,169,150,78,93,67.29,34.49
Assam,30207,3129,27078,19996,2673,2921,1488,10.36,73.85
Bihar,86518,25232,61286,34487,9484,9889,7426,29.16,56.27
Union Territory Of Chandigarh,9368,9039,329,1,54,109,165,96.49,0.3
Chattisgarh,36916,31180,5736,3194,760,867,915,84.46,55.68
Union Territory Of Dadra & Nagar Haveli,996,788,208,0,0,12,196,79.12,0.0
Union Territory Of Daman & Diu,783,765,18,0,0,1,17,97.7,0.0
Gujarat,90189,80279,9910,536,1425,2703,5246,89.01,5.41
Goa,4445,2880,1565,1008,183,224,150,64.79,64.41
Himachal Pradesh,18727,232,18495,13312,1917,2026,1240,1.24,71.98
Haryana,102805,56415,46390,29701,4784,6415,5490,54.88,64.02
Jharkhand,41484,14688,26796,15095,4916,4213,2572,35.41,56.33
